TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 455   0.275000   0.075000          0.0077    0.008993
 496   0.300000   0.075000          0.0083    0.009568
 537   0.325000   0.075000          0.0087    0.010084
 578   0.350000   0.075000          0.0091    0.010537
 619   0.375000   0.075000          0.0094    0.010926
 660   0.400000   0.075000          0.0098    0.011248
 701   0.425000   0.075000          0.0099    0.011500
 742   0.450000   0.075000          0.0101    0.011681
 783   0.475000   0.075000          0.0102    0.011790
 824   0.500000   0.075000          0.0103    0.011826
 865   0.525000   0.075000          0.0102    0.011790
 906   0.550000   0.075000          0.0101    0.011681
 947   0.575000   0.075000          0.0099    0.011500
 988   0.600000   0.075000          0.0098    0.011248
 1029   0.625000   0.075000          0.0094    0.010926
 1070   0.650000   0.075000          0.0091    0.010537
 1111   0.675000   0.075000          0.0087    0.010084
 1152   0.700000   0.075000          0.0083    0.009568
 1193   0.725000   0.075000          0.0077    0.008993
 1234   0.750000   0.075000          0.0072    0.008363
 1275   0.775000   0.075000          0.0065    0.007681
 1316   0.800000   0.075000          0.0060    0.006951
 1357   0.825000   0.075000          0.0052    0.006179
 1398   0.850000   0.075000          0.0046    0.005369
 1439   0.875000   0.075000          0.0037    0.004526
 1480   0.900000   0.075000          0.0031    0.003655
 1521   0.925000   0.075000          0.0021    0.002761
 1562   0.950000   0.075000          0.0015    0.001850
 1603   0.975000   0.075000          0.0004    0.000928
 1644   1.000000   0.075000          0.0000    0.000000
 5   0.000000   0.100000          0.0000    0.000000
 46   0.025000   0.100000          0.0006    0.001228
 87   0.050000   0.100000          0.0023    0.002449
 128   0.075000   0.100000          0.0031    0.003655
 169   0.100000   0.100000          0.0046    0.004838
 210   0.125000   0.100000          0.0055    0.005991
 251   0.150000   0.100000          0.0068    0.007107
 292   0.175000   0.100000          0.0077    0.008180
 333   0.200000   0.100000          0.0089    0.009202
 374   0.225000   0.100000          0.0097    0.010167
 415   0.250000   0.100000          0.0107    0.011070
 456   0.275000   0.100000          0.0114    0.011904
 497   0.300000   0.100000          0.0123    0.012665
 538   0.325000   0.100000          0.0128    0.013348
 579   0.350000   0.100000          0.0135    0.013949
 620   0.375000   0.100000          0.0139    0.014463
 661   0.400000   0.100000          0.0144    0.014889
 702   0.425000   0.100000          0.0147    0.015222
 743   0.450000   0.100000          0.0150    0.015462
 784   0.475000   0.100000          0.0151    0.015607
 825   0.500000   0.100000          0.0152    0.015655
 866   0.525000   0.100000          0.0151    0.015607
 907   0.550000   0.100000          0.0150    0.015462
 948   0.575000   0.100000          0.0147    0.015222
 989   0.600000   0.100000          0.0144    0.014889
 1030   0.625000   0.100000          0.0139    0.014463
 1071   0.650000   0.100000          0.0135    0.013949
 1112   0.675000   0.100000          0.0128    0.013348
 1153   0.700000   0.100000          0.0123    0.012665
 1194   0.725000   0.100000          0.0114    0.011904
 1235   0.750000   0.100000          0.0107    0.011070
 1276   0.775000   0.100000          0.0097    0.010167
 1317   0.800000   0.100000          0.0089    0.009202
 1358   0.825000   0.100000          0.0077    0.008180
 1399   0.850000   0.100000          0.0068    0.007107
 1440   0.875000   0.100000          0.0055    0.005991
 1481   0.900000   0.100000          0.0046    0.004838
 1522   0.925000   0.100000          0.0031    0.003655
 1563   0.950000   0.100000          0.0023    0.002449
 1604   0.975000   0.100000          0.0006    0.001228
 1645   1.000000   0.100000          0.0000    0.000000
 6   0.000000   0.125000          0.0000    0.000000
 47   0.025000   0.125000          0.0008    0.001521
 88   0.050000   0.125000          0.0027    0.003033
 129   0.075000   0.125000          0.0037    0.004526
 170   0.100000   0.125000          0.0055    0.005991
 211   0.125000   0.125000          0.0065    0.007419
 252   0.150000   0.125000          0.0081    0.008801
 293   0.175000   0.125000          0.0091    0.010130
 334   0.200000   0.125000          0.0105    0.011395
 375   0.225000   0.125000          0.0115    0.012591
 416   0.250000   0.125000          0.0127    0.013709
 457   0.275000   0.125000          0.0136    0.014742
 498   0.300000   0.125000          0.0146    0.015684
 539   0.325000   0.125000          0.0153    0.016530
 580   0.350000   0.125000          0.0161    0.017274
 621   0.375000   0.125000          0.0166    0.017911
 662   0.400000   0.125000          0.0172    0.018438
 703   0.425000   0.125000          0.0175    0.018851
 744   0.450000   0.125000          0.0178    0.019148
 785   0.475000   0.125000          0.0179    0.019327
 826   0.500000   0.125000          0.0181    0.019387
